red,green,blue
158,93,74
142,67,53
125,78,88
58,52,102
74,108,141
99,114,109
97,100,104
97,140,96
97,138,123
159,115,92
146,144,51
133,144,141
105,144,132
103,131,112
97,107,73
95,93,59
87,90,47
34,86,132
155,86,139
114,94,149
85,71,151
117,60,140
116,131,112
110,114,127
109,38,127
105,191,127
101,169,137
144,126,101
131,116,59
81,102,20
203,62,44
174,121,54
120,90,122
206,93,118
183,187,118
170,126,82
41,58,82
39,69,82
32,72,119
98,76,86
92,90,54
86,93,138
80,93,112
82,90,90
83,109,156
140,120,156
136,67,156
112,90,124
132,105,111
104,170,97
81,146,88
53,126,88
53,157,88
53,175,131
113,175,121
83,107,108
36,96,61
112,91,49
95,116,32
70,116,136
161,116,171
98,137,85
114,62,90
129,13,90
117,114,90
107,119,130
154,102,133
154,120,94
154,130,109
75,138,122
52,37,126
46,37,105
102,37,124
112,98,148
48,106,133
149,115,127
141,56,123
136,39,120
97,20,131
80,98,119
71,98,139
131,98,139
93,136,139
101,138,104
35,101,96
35,162,27
21,152,108
72,119,86
73,54,78
34,55,99
102,54,100
87,132,112
59,119,152
17,119,147
15,87,145
14,134,75
45,158,75
43,154,75
35,152,109
135,145,86
138,139,35
128,112,111
85,57,113
78,161,106
76,183,183
108,121,119
94,105,22
58,93,87
73,87,82
157,150,45
209,123,179
34,162,178
95,107,179
130,88,95
100,78,88
96,114,90
100,86,154
64,69,144
46,167,125
39,100,107
99,33,101
89,47,93
70,47,85
105,47,69
95,113,28
48,119,120
189,131,150
166,101,66
164,95,152
133,108,147
156,109,137
164,100,126
84,84,91
90,118,41
91,112,121
92,66,109
90,151,99
96,156,133
118,166,134
128,127,137
94,125,37
33,122,43
54,83,56
93,85,75
111,71,74
152,50,65
194,50,151
126,50,131
127,138,131
122,100,238
87,46,218
102,134,139
112,129,44
139,123,28
136,128,23
136,113,100
89,113,79
96,112,69
90,85,123
99,77,119
82,134,122
69,126,165
81,126,147
80,78,191
60,111,90
118,163,105
117,194,128
114,177,112
145,165,124
129,94,128
95,94,152
157,94,110
159,167,37
166,163,169
172,162,173
186,109,144
189,98,87
107,75,85
74,134,65
60,103,106
229,85,122
228,138,141
225,122,174
145,46,43
122,121,18
89,114,103
156,92,101
148,74,93
134,91,141
159,108,148
156,63,140
143,63,144
133,63,109
135,111,107
67,110,53
145,102,43
146,103,35
89,67,47
79,48,44
90,89,43
