Red,Green,Blue,Average
229,228,225,227
238,218,139,198
206,183,170,186
172,186,189,182
194,177,165,179
179,178,179,179
189,166,164,173
157,175,175,169
165,147,191,168
203,174,120,166
167,163,162,164
191,169,126,162
169,173,144,162
157,159,166,161
151,156,166,158
156,156,156,156
161,183,121,155
154,154,154,154
159,156,143,153
111,152,194,152
133,156,164,151
154,152,145,150
152,147,145,148
170,146,126,147
159,146,133,146
73,157,209,146
156,148,134,146
150,123,162,145
152,147,137,145
144,144,144,144
162,152,119,144
141,148,140,143
158,142,125,142
149,141,136,142
154,144,125,141
132,139,149,140
139,139,139,139
151,131,131,138
139,136,136,137
133,134,137,135
135,138,128,134
151,140,112,134
140,138,115,131
136,171,85,131
140,136,112,129
120,130,138,129
134,129,123,129
134,126,126,129
141,132,112,128
133,127,123,128
145,146,89,127
127,127,127,127
87,134,158,126
105,124,148,126
126,127,122,125
136,138,101,125
127,125,122,125
161,98,114,124
187,126,58,124
145,129,95,123
132,119,119,123
120,131,119,123
106,122,141,123
113,119,131,121
123,119,122,121
112,124,128,121
131,121,108,120
144,109,107,120
144,131,81,119
145,122,89,119
122,118,118,119
130,133,94,119
109,122,126,119
155,114,85,118
129,117,107,118
128,113,113,118
78,111,163,117
118,117,114,116
116,116,116,116
117,116,110,114
118,128,94,113
138,112,90,113
133,135,67,112
114,119,102,112
120,150,66,112
124,111,97,111
131,107,93,110
88,102,141,110
111,113,106,110
121,109,99,110
121,114,92,109
131,93,101,108
111,110,102,108
183,119,22,108
90,105,128,108
108,114,100,107
134,103,85,107
132,104,81,106
90,109,120,106
98,106,115,106
109,105,101,105
99,100,112,104
139,112,57,103
109,104,96,103
105,103,97,102
138,122,46,102
121,90,93,101
101,95,108,101
87,102,112,100
167,100,33,100
107,101,93,100
152,110,37,100
100,96,100,99
118,112,66,99
137,101,59,99
103,101,93,99
107,96,91,98
98,98,98,98
109,100,84,98
97,97,97,97
105,93,87,95
138,100,46,95
131,114,38,94
94,94,94,94
109,98,75,94
92,90,96,93
116,102,62,93
98,92,86,92
112,95,70,92
89,96,90,92
90,93,93,92
107,88,78,91
112,85,77,91
74,91,108,91
108,86,78,91
95,88,90,91
114,86,69,90
90,90,90,90
123,92,51,89
84,90,91,88
88,88,88,88
102,112,48,87
108,94,58,87
79,90,93,87
90,86,86,87
67,90,105,87
34,95,130,86
99,89,70,86
119,86,54,86
126,91,41,86
97,80,71,83
102,87,59,83
105,95,48,83
99,82,69,83
100,79,69,83
80,82,83,82
82,82,82,82
85,78,76,80
107,74,60,80
83,85,71,80
87,85,65,79
174,43,18,78
58,74,99,77
113,83,36,77
109,86,35,77
104,96,27,76
94,71,60,75
75,75,75,75
81,80,60,74
103,67,48,73
95,87,34,72
69,72,76,72
89,74,53,72
137,62,13,71
87,82,45,71
75,74,65,71
67,78,52,66
63,63,63,63
85,69,28,61
72,73,34,60
33,54,93,60
73,59,47,60
75,52,46,58
54,55,54,54
53,53,53,53
64,46,39,50
50,50,50,50
47,47,47,47
61,49,32,47
37,43,56,45
47,44,43,45
53,43,35,44
45,43,35,41
20,44,54,39
56,39,20,38
41,39,32,37
37,37,37,37
44,28,23,32
35,35,21,30
17,15,14,15
